name,scholar_id,dewey_id,original_names,affiliation,email_domain,interests,citedby,url_picture
Serli Wijaya,lrIy1ZoAAAAJ,1252,,"Associate Professor, School of Business and Management, Petra Christian University …",@petra.ac.id,Hospitality & Tourism Marketing;Consumer Behaviour;Special Interest Tourism;Services Marketing,1582,https://scholar.google.com/citations?view_op=medium_photo&user=lrIy1ZoAAAAJ
Sesilya Kempa,h0Bn9ww7lO4C,1253,,Petra Christian University,@petra.ac.id,Entrepreneurship;Marketing,682,https://scholar.google.com/citations?view_op=medium_photo&user=h0Bn9ww7lO4C
Setefanus Suprajitno,QYRpog4AAAAJ,1254,,Petra Christian University,@petra.ac.id,,68,https://scholar.google.com/citations?view_op=medium_photo&user=QYRpog4AAAAJ
Setia Wanto,,1255,,,,,,
Setiawan Wiweko Lopito,,1256,,,,,,
Seto Ambara,,1257,,,,,,
Setyarini Santosa,,1258,,,,,,
Setyawati,,1259,,,,,,
Setyo Nugrowibowo,,1260,,,,,,
Shanti Kasmaji,,1261,,,,,,
Shelly Gunavati Wardoyo,,1262,,,,,,
Shelly Hartono,,1263,,,,,,
Sherlly Kosasih,,1264,,,,,,
Sherly De Yong,,1265,,,,,,
Sherly R. Tanoto,fwB4f_AAAAAJ,1266,,"School of Busines and Management, Petra Christian University",@petra.ac.id,Organisational Behaviour;Human Resource Management,213,https://scholar.google.com/citations?view_op=medium_photo&user=fwB4f_AAAAAJ
Sherly Tanoto,,1267,,,,,,
Shierly Novalita Yappy,,1268,,,,,,
Shu,,1269,,,,,,
Shu-San Gan,JfjX95IAAAAJ,1270,,Petra Christian University,@peter.petra.ac.id,supply chain;remanufacturing;pricing,678,https://scholar.google.com/citations?view_op=medium_photo&user=JfjX95IAAAAJ
Sia Khaij Tjwan,,1271,,,,,,
Siana Halim,_x5qJd4AAAAJ,1272,,Universitas Kristen Petra,@petra.ac.id,Mathematics;Industrial Engineering,694,
Sidniwati,,1273,,,,,,
Sienny Thio,,1274,,,,,,
Silvia Rostianingsih,timN0XcAAAAJ,1275,,Universitas Kristen Petra,@petra.ac.id,Sistem Informasi,579,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=timN0XcAAAAJ&citpid=1
Simon Filantropha,,1276,,,,,,
Singgih Mardianto Soephomo,,1277,,,,,,
Singgih Sugianto,,1278,,,,,,
Siok Ping,,1279,,,,,,
Sirikit Syah,,1280,,,,,,
Siska Amonalisa Silalahi S. E,,1281,,,,,,
Sita Pagalan,,1282,,,,,,
Siu Yee Tang-Pang,,1283,,,,,,
Sjoerd A Gehrels,,1284,,,,,,
Slamet Mulyono,,1285,,,,,,
Soebagio,,1286,,,,,,
Soebianto Tjandrawibowo,,1287,,,,,,
Soedarto,,1288,,,,,,
Soedjono Abipraja,,1289,,,,,,
Soegiono Muridjal Azasi,,1290,,,,,,
Soegiono Sugiharto,,1291,,,,,,
Soeharijadi,,1292,,,,,,
Soeharto,,1293,,,,,,
Soehartono Irawan,,1294,,,,,,
Soehendro Ratnawidjaja,,1295,,,,,,
Soejono Tjitro,,1296,,,,,,
Soekarno,,1297,,,,,,
Soemadi,,1298,,,,,,
Soenartomo Soepomo,,1299,,,,,,
Soenyoto Yudho Bhaskoro,,1300,,,,,,
Soepono Sasongko,,1301,,,,,,
Soeprajitno,,1302,,,,,,
Soesatijono,,1303,,,,,,
Soetikno,,1304,,,,,,
Soetojo Darsosentono,,1305,,,,,,
Soetrisno,,1306,,,,,,
Sojin Kim,,1307,,,,,,
Song,,1308,,,,,,
Song Bal Geum,,1309,,,,,,
Sophia Novita Angkadjaja,,1310,,,,,,
Sri Maharsi,,1311,,,,,,
Sri Moerdijati,,1312,,,,,,
Sri Soegandini,,1313,,,,,,
Sri Suryatin,,1314,,,,,,
Sri Torini,,1315,,,,,,
Sriti Mayang Sari,,1316,,,,,,
Sritomo Wignjosoebroto,,1317,,,,,,
Stan Abeln,,1318,,,,,,
Stanislaus Kuntjoro Santoso,,1319,,,,,,
Stanley Surya Jaya,,1320,,,,,,
Stefan Hoevenaar,,1321,,,,,,
Stefan Lens,,1322,,,,,,
Stefan Weijers,,1323,,,,,,
Stefanny Irawan,o9l0nB8AAAAJ,1324,,Petra Christian University,@petra.ac.id,Theatre and performance;Drama;Arts management;Creative writing,6,https://scholar.google.com/citations?view_op=medium_photo&user=o9l0nB8AAAAJ
Stefanus Laga Tukan,,1325,,,,,,
Stefanus Ongkodjojo,,1326,,,,,,
Stefanus Suprayitno,,1327,,,,,,
Steffi Thanissa Halim,,1328,,,,,,
Steffie Iskandar,,1329,,,,,,
Stephanie M. Frans,,1330,,,,,,
Stephanie Melinda Frans,,1331,,,,,,
Stephanie Pascalita,,1332,,,,,,
Stephanus A. Ananda,,1333,,,,,,
Stephanus Antonius Ananda,YUTXWNUAAAAJ,1334,,Informatics Engineering - Petra Christian University,@petra.ac.id,Multi-Agent System (AI & IoT);SmartGrid;Protective Relaying;HV Technology;Electric Machinery,75,https://scholar.google.com/citations?view_op=medium_photo&user=YUTXWNUAAAAJ
Stephanus P. Honggowidjaja,,1335,,,,,,
Stephanus Setiadi,,1336,,,,,,
Stephanus Wirawan Dharmatanna,gKsVLK4AAAAJ,1337,,Lecturer Petra Christian University,@petra.ac.id,Energy Efficiency;Kinetic Facade;Building Information Modeling;Critical Regionalism,44,https://scholar.google.com/citations?view_op=medium_photo&user=gKsVLK4AAAAJ
Stephanus Yuli Susetyo,,1338,,,,,,
Stephanus Yulianto,,1339,,,,,,
Stephen O. Ogunlana,,1340,,,,,,
Stevanus Adrianto Tjandra,,1341,,,,,,
Stevanus Arie Nugroho,,1342,,,,,,
Steven Houtbraken,,1343,,,,,,
Subagio,,1344,,,,,,
Subandi,,1345,,,,,,
Subandi Djajengwasito,,1346,,,,,,
Subandi M T,,1347,,,,,,
Subianto Tjandrawibawa,,1348,,,,,,
Suci Cintani,,1349,,,,,,
Sudibjo,,1350,,,,,,
Sudono Panjaya,,1351,,,,,,
Sufiana,,1352,,,,,,
Sugeng Hariadi,,1353,,,,,,
Sugeng Setyawan,,1354,,,,,,
Sugi Hartono,,1355,,,,,,
Sugianto Halim,,1356,,,,,,
Sugie Prawono,,1357,,,,,,
Sugiharto Adhi Cahyono,,1358,,,,,,
Sugiono Sugiarto,,1359,,,,,,
Sugiono Sugiharto,,1360,,,,,,
Sugiyono Ardjaka,,1361,,,,,,
Suhardjono,,1362,,,,,,
Sujono Poetrodjojo,,1363,,,,,,
Sukanto Tedjokusuma,,1364,,,,,,
Sukemi,,1365,,,,,,
Sulistyosari,,1366,,,,,,
Sumarjan,,1367,,,,,,
Sumartono,,1368,,,,,,
Sunarto,,1369,,,,,,
Sundring Pantja Djati,,1370,,,,,,
Sunu Prihantono,,1371,,,,,,
Supeno Djanali,,1372,,,,,,
Supriyanto,,1373,,,,,,
Surya Ageng Pradita,,1374,,,,,,
Suryanto,,1375,,,,,,
Susilo Matair,,1376,,,,,,
Sutoto Yakobus,,1377,,,,,,
Sutrisno,,1378,,,,,,
Suwandi Sugondo,,1379,,,,,,
Suwati,,1380,,,,,,
Suwati Hudoyo,,1381,,,,,,
Syanne Helly,,1382,,,,,,
Syariffuddin M,,1383,,,,,,
Syirikit Syah,,1384,,,,,,
Sylvia Rosiana Prasetyo,,1385,,,,,,
Sylvia Salim,,1386,,,,,,
Sylviana Putri Sunario Soegondo,,1387,,,,,,
T. Tai,,1388,,,,,,
Takim Andriono,,1389,,,,,,
Tan Chee Hong,,1390,,,,,,
Tanti Octavia,q8wuJbgAAAAJ,1391,,petra christian university,@petra.ac.id,,402,https://scholar.google.com/citations?view_op=medium_photo&user=q8wuJbgAAAAJ
Tatiana Alekseeva,,1392,,,,,,
Taufik Hidayat,,1393,,,,,,
Tekin Yilmaz,,1394,,,,,,
Teng Hoo Tiong,,1395,,,,,,
Teng Sutrisno,WPN6RBwAAAAJ,1396,,Lecturer @ Mechanical Engineering-Petra Christian University,@petra.ac.id,Energy;Thermofluid;Turbomachinery,161,https://scholar.google.com/citations?view_op=medium_photo&user=WPN6RBwAAAAJ
Teresa M. W,,1397,,,,,,
Tessa Vanina Soetanto,,1398,,,,,,
Tham Kam Hong,,1399,,,,,,
Thea Burggraaf,,1400,,,,,,
