name,scholar_id,affiliation,email_domain,interests,citedby,url_picture
Grace Mulyono,uB-e3l4AAAAJ,"Lecturer of Interior Design Program, Petra Christian University",@petra.ac.id,Concrete Furniture;Indonesian Local Material;Modular Design,195,https://scholar.google.com/citations?view_op=medium_photo&user=uB-e3l4AAAAJ
Liauw Toong Tjiek,7Qrh3IkAAAAJ,"Lecturer & Librarian, Petra Christian University",@petra.ac.id,Digital Libraries;Institutional Repositories;Open Access;Scholarly Communications;Research,193,https://scholar.google.com/citations?view_op=medium_photo&user=7Qrh3IkAAAAJ
Ronald Hasudungan Irianto Sitindjak,3XDlZdAAAAAJ,Petra Christian University,@petra.ac.id,Interior Design;House;Vernacular;Ornaments,191,https://scholar.google.com/citations?view_op=medium_photo&user=3XDlZdAAAAAJ
Petrus Santoso,lQGtRLMAAAAJ,Petra Christian University,@petra.ac.id,Telematics;Robotics;Network Security,182,https://scholar.google.com/citations?view_op=medium_photo&user=lQGtRLMAAAAJ
Yulia Kendengis,HmDcu0MAAAAJ,Petra Christian University,@petra.ac.id,Information System;Enterprise Resource Planning,179,https://scholar.google.com/citations?view_op=medium_photo&user=HmDcu0MAAAAJ
Maria Praptiningsih,XVYlsuUAAAAJ,Petra Christian University,@petra.ac.id,economics;macroeconomics;microeconomics;econometrics,178,https://scholar.google.com/citations?view_op=medium_photo&user=XVYlsuUAAAAJ
Fanny Lesmana,qzg0kdAAAAAJ,Petra Christian University,@petra.ac.id,journalism;media studies;cultural studies;public speaking;photo journalism,176,https://scholar.google.com/citations?view_op=medium_photo&user=qzg0kdAAAAAJ
Amelia Sugondo,6RUt-eUAAAAJ,Petra Christian University,@petra.ac.id,mechanical engineering,175,https://scholar.google.com/citations?view_op=medium_photo&user=6RUt-eUAAAAJ
Priskila Adiasih,YigxyHoAAAAJ,"Accounting Department, Petra Christian University",@petra.ac.id,EM;CSR,172,https://scholar.google.com/citations?view_op=medium_photo&user=YigxyHoAAAAJ
Ir. Handoko Sugiharto,H_hVTyAAAAAJ,Petra Christian University,@petra.ac.id,Concrete technology,171,https://scholar.google.com/citations?view_op=medium_photo&user=H_hVTyAAAAAJ
Hen Dian Yudani,VKghoOUAAAAJ,Petra Christian University,@petra.ac.id,Audio Visual,170,https://scholar.google.com/citations?view_op=medium_photo&user=VKghoOUAAAAJ
Julius Sentosa,yd281dwAAAAJ,Petra Christian University,@petra.ac.id,Distribution and Installation of Electric Power;Power Quality,170,https://scholar.google.com/citations?view_op=medium_photo&user=yd281dwAAAAJ
Lilianny S. Arifin,cxtPPV4AAAAJ,Petra Christian University,@petra.ac.id,Architecture,169,https://scholar.google.com/citations?view_op=medium_photo&user=cxtPPV4AAAAJ
Ani Wijayanti Suhartono,yi67k28AAAAJ,"Lecturer Visual Communication Design, Petra Christian University",@petra.ac.id,Media Studies;Enterpreneurship,161,https://scholar.google.com/citations?view_op=medium_photo&user=yi67k28AAAAJ
Teng Sutrisno,WPN6RBwAAAAJ,Lecturer @ Mechanical Engineering-Petra Christian University,@petra.ac.id,Energy;Thermofluid;Turbomachinery,160,https://scholar.google.com/citations?view_op=medium_photo&user=WPN6RBwAAAAJ
Daniel Budiana,YCc1kuYAAAAJ,"Lecturer, Petra Christian University",@petra.ac.id,Film;Film Studies;Semiotic;Social Media;New Media,158,https://scholar.google.com/citations?view_op=medium_photo&user=YCc1kuYAAAAJ
Vido Iskandar,7FcA5H4AAAAJ,"Assistant Professor, Petra Christian University",@petra.ac.id,Hospitality;Management;Human Resource Management,157,https://scholar.google.com/citations?view_op=medium_photo&user=7FcA5H4AAAAJ
Aylanda Hidayati Dwi Nugroho,82GWZwwAAAAJ,"English Department, Petra Christian University",@petra.ac.id,English;Linguistics;Critical Discourse Analysis;News Analysis;Media,144,https://scholar.google.com/citations?view_op=medium_photo&user=82GWZwwAAAAJ
Jimmy Chandra,acwyioMAAAAJ,Petra Christian University,@petra.ac.id,Structural Engineering,141,https://scholar.google.com/citations?view_op=medium_photo&user=acwyioMAAAAJ
Magdalena Pranata Santoso,mge9TJgAAAAJ,Petra Christian University,@petra.ac.id,Education. Sociology;Theology,138,https://scholar.google.com/citations?view_op=medium_photo&user=mge9TJgAAAAJ
Cindy Muljosumarto,wdBlE4gAAAAJ,"Lecturer of Visual Communication Design, Petra Christian University",@petra.ac.id,Branding;Advertising;Brand Communication,136,https://scholar.google.com/citations?view_op=medium_photo&user=wdBlE4gAAAAJ
Rika Febriani,e0fpFhEAAAAJ,"Visual Communication Design Department, Petra Christian University",@petra.ac.id,Graphic Design;Fashion Design;Social Campaign;Book Design;Interactive-Educational Media Design,130,https://scholar.google.com/citations?view_op=medium_photo&user=e0fpFhEAAAAJ
