name,scholar_id,affiliation,email_domain,interests,citedby,url_picture
CYNTIA PUSPA PITALOKA,lUEh4G4AAAAJ,Petra Christian University,@petra.ac.id,Public Health,5,https://scholar.google.com/citations?view_op=medium_photo&user=lUEh4G4AAAAJ
Ambrosius Matthew Junius Reynaldo,uXqR_dIAAAAJ,"Petra Christian University, Surabaya, Indonesia",@petra.ac.id,Civil Engineering;Construction Management;Optimization in Civil Engineering,5,https://scholar.google.com/citations?view_op=medium_photo&user=uXqR_dIAAAAJ
Gunawan Tjokro,SLPgzFIAAAAJ,"Mahasiswa, Petra Christian University",@john.petra.ac.id,Sastra,4,https://scholar.google.com/citations?view_op=medium_photo&user=SLPgzFIAAAAJ
Yeremia Tulude Ambat,UWeeJPIAAAAJ,Petra Christian University,@petra.ac.id,Communication Science;Cultural Studies,3,https://scholar.google.com/citations?view_op=medium_photo&user=UWeeJPIAAAAJ
NOVITA TENOYO,B7Othl8AAAAJ,Petra Christian University,@john.petra.ac.id,,2,https://scholar.google.com/citations?view_op=medium_photo&user=B7Othl8AAAAJ
DEA DEVINA THEJA,lc9_A4YAAAAJ,PETRA CHRISTIAN UNIVERSITY,@john.petra.ac.id,,2,https://scholar.google.com/citations?view_op=medium_photo&user=lc9_A4YAAAAJ
Ivonne Muliawati Harsono,UNajjYkAAAAJ,Petra Christian University,@petra.ac.id,Asian Cinema;Literature;Philosophy;Women and Gender Studies,2,https://scholar.google.com/citations?view_op=medium_photo&user=UNajjYkAAAAJ
Dean Charlos Padji Dogi,Lu2ZuioAAAAJ,"Accounting Department, School of Business and Management, Petra Christian University",@petra.ac.id,Accounting;Finance;Fraud;Tax Avoidance,2,https://scholar.google.com/citations?view_op=medium_photo&user=Lu2ZuioAAAAJ
Evie Santoso,hwALICsAAAAJ,"Lecture in Petra Christian University, Head of Center of Christian Leadership",@petra.ac.id,Theology;Education;Leadership,2,https://scholar.google.com/citations?view_op=medium_photo&user=hwALICsAAAAJ
Gracia Stefani,8vxVeusAAAAJ,Petra  Christian University,@john.petra.ac.id,Business Accounting,1,https://scholar.google.com/citations?view_op=medium_photo&user=8vxVeusAAAAJ
Liliek Soelistyo,y5t4smkAAAAJ,"Department of English, Petra Christian University",@petra.ac.id,Kajian Budaya;Sastra;dan Media,0,https://scholar.google.com/citations?view_op=medium_photo&user=y5t4smkAAAAJ
"Prof. Dr. Eddy M. Sutanto, M.Sc.",qdcn_KgAAAAJ,Petra Christian University,@petra.ac.id,People Management;OB;Managing Diversity;Family Business,0,https://scholar.google.com/citations?view_op=medium_photo&user=qdcn_KgAAAAJ
Kevin Yanwar,o35VPS4AAAAJ,Petra Christian University,@john.petra.ac.id,Information Systems;Data Mining;Web Development;Data Analysis,0,https://scholar.google.com/citations?view_op=medium_photo&user=o35VPS4AAAAJ
Chandra Pratama Setiawan,mvdItQ8AAAAJ,"Librarian, Petra Christian University",@petra.ac.id,Library;cataloguing;library as place;library marketing;corporate social responsibility of university …,0,https://scholar.google.com/citations?view_op=medium_photo&user=mvdItQ8AAAAJ
David Wahyu Pratomo,-xKFxGEAAAAJ,Petra Christian University,@john.petra.ac.id,IoT;Backend;DevOps,0,https://scholar.google.com/citations?view_op=medium_photo&user=-xKFxGEAAAAJ
Pricillia Chandra,uoV1WrAAAAAJ,Petra Christian University,@alumni.petra.ac.id,media representation;feminism,0,https://scholar.google.com/citations?view_op=medium_photo&user=uoV1WrAAAAAJ
Yosephine Kurnia Anggita,Ck0Zf04AAAAJ,Petra Christian University,@john.petra.ac.id,,0,https://scholar.google.com/citations?view_op=medium_photo&user=Ck0Zf04AAAAJ
Angeline,u-hP_Z8AAAAJ,Petra Christian University,@john.petra.ac.id,,0,https://scholar.google.com/citations?view_op=medium_photo&user=u-hP_Z8AAAAJ
Mega Ekklesia Putrihadi,_H89hc8AAAAJ,Petra Christian University,@petra.ac.id,Design;Art;Visual,0,https://scholar.google.com/citations?view_op=medium_photo&user=_H89hc8AAAAJ
Chandra Udayana,_7-vXJsAAAAJ,Petra Christian University,@peter.petra.ac.id,biblical theology;biblical worldview;christian ethics,0,https://scholar.google.com/citations?view_op=medium_photo&user=_7-vXJsAAAAJ
Reyhan Iskandar,XgbiIbMAAAAJ,"Petra Christian University, Institut Teknologi Sepuluh Nopember",@alumni.petra.ac.id,Manufacturing process,0,https://scholar.google.com/citations?view_op=medium_photo&user=XgbiIbMAAAAJ
Kurniawan Susanto,3R2-WQYAAAAJ,Petra Christian University,@petra.ac.id,Civil Engineering;High Rise Building;Computational Intelligence,0,https://scholar.google.com/citations?view_op=medium_photo&user=3R2-WQYAAAAJ
Sharon Monica Pranajaya,D2YTuqsAAAAJ,Petra Christian University,@john.petra.ac.id,Interior Design,0,https://scholar.google.com/citations?view_op=medium_photo&user=D2YTuqsAAAAJ
RUBEN ADICAHYA,1ST3-ooAAAAJ,"Program Studi Teknik Sipil, Petra Christian University",@petra.ac.id,Rekayasa Struktur,0,https://scholar.google.com/citations?view_op=medium_photo&user=1ST3-ooAAAAJ
MARGARETH TJANDRA,DZD-uOwAAAAJ,Petra Christian University,@john.petra.ac.id,,0,https://scholar.google.com/citations?view_op=medium_photo&user=DZD-uOwAAAAJ
Sharon Wong,DR4fYsAAAAAJ,"Student, Petra Christian University",@john.petra.ac.id,Finance,0,https://scholar.google.com/citations?view_op=medium_photo&user=DR4fYsAAAAAJ
